,date,country,iso_alpha,rate,confirmed,death,recovered
327,2020-02-18,Korea,KOR,1.0333222259246917,31.0,0.0,12.0
328,2020-02-18,Singapore,SGP,1.051941306323854,81.0,0.0,29.0
329,2020-02-18,Italy,ITA,1.0,3.0,0.0,0.0
330,2020-02-18,UK,GBR,1.0,9.0,0.0,8.0
331,2020-02-18,Germany,DEU,1.0,16.0,0.0,12.0
332,2020-02-18,Spain,ESP,1.0,2.0,0.0,2.0
333,2020-02-18,Brazil,BRA,1.0,0.0,0.0,0.0
334,2020-02-18,Australia,AUS,1.0,15.0,0.0,10.0
335,2020-02-18,Canada,CAN,1.0,8.0,0.0,1.0
336,2020-02-19,US,USA,1.0,15.0,0.0,3.0
337,2020-02-19,China,CHN,1.0054896875477566,74546.0,2114.0,15952.0
338,2020-02-19,India,IND,1.0,3.0,0.0,3.0
339,2020-02-19,Korea,KOR,1.0,31.0,0.0,12.0
340,2020-02-19,Singapore,SGP,1.037032465127762,84.0,0.0,34.0
341,2020-02-19,Italy,ITA,1.0,3.0,0.0,0.0
342,2020-02-19,UK,GBR,1.0,9.0,0.0,8.0
343,2020-02-19,Germany,DEU,1.0,16.0,0.0,12.0
344,2020-02-19,Spain,ESP,1.0,2.0,0.0,2.0
345,2020-02-19,Brazil,BRA,1.0,0.0,0.0,0.0
346,2020-02-19,Australia,AUS,1.0,15.0,0.0,10.0
347,2020-02-19,Canada,CAN,1.0,8.0,0.0,1.0
348,2020-02-20,US,USA,1.0,15.0,0.0,3.0
349,2020-02-20,China,CHN,1.0060767839888412,74999.0,2236.0,18002.0
350,2020-02-20,India,IND,1.0,3.0,0.0,3.0
351,2020-02-20,Korea,KOR,3.3540793292486293,104.0,1.0,16.0
352,2020-02-20,Singapore,SGP,1.0,84.0,0.0,34.0
353,2020-02-20,Italy,ITA,1.0,3.0,0.0,0.0
354,2020-02-20,UK,GBR,1.0,9.0,0.0,8.0
355,2020-02-20,Germany,DEU,1.0,16.0,0.0,12.0
356,2020-02-20,Spain,ESP,1.0,2.0,0.0,2.0
357,2020-02-20,Brazil,BRA,1.0,0.0,0.0,0.0
358,2020-02-20,Australia,AUS,1.0,15.0,0.0,10.0
359,2020-02-20,Canada,CAN,1.0,8.0,0.0,1.0
360,2020-02-21,US,USA,2.3324450366422385,35.0,0.0,5.0
361,2020-02-21,China,CHN,1.0063067499157656,75472.0,2236.0,18693.0
362,2020-02-21,India,IND,1.0,3.0,0.0,3.0
363,2020-02-21,Korea,KOR,1.9614460148062685,204.0,2.0,16.0
364,2020-02-21,Singapore,SGP,1.0119033448399,85.0,0.0,37.0
365,2020-02-21,Italy,ITA,6.647840531561463,20.0,1.0,0.0
366,2020-02-21,UK,GBR,1.0,9.0,0.0,8.0
367,2020-02-21,Germany,DEU,1.0,16.0,0.0,14.0
368,2020-02-21,Spain,ESP,1.0,2.0,0.0,2.0
369,2020-02-21,Brazil,BRA,1.0,0.0,0.0,0.0
370,2020-02-21,Australia,AUS,1.2664890073284478,19.0,0.0,11.0
371,2020-02-21,Canada,CAN,1.1248439450686643,9.0,0.0,3.0
372,2020-02-22,US,USA,1.0,35.0,0.0,5.0
373,2020-02-22,China,CHN,1.0192124206046718,76922.0,2441.0,22687.0
374,2020-02-22,India,IND,1.0,3.0,0.0,3.0
375,2020-02-22,Korea,KOR,2.1224939953923827,433.0,2.0,16.0
376,2020-02-22,Singapore,SGP,1.0,85.0,0.0,37.0
377,2020-02-22,Italy,ITA,3.098950524737631,62.0,2.0,1.0
378,2020-02-22,UK,GBR,1.0,9.0,0.0,8.0
379,2020-02-22,Germany,DEU,1.0,16.0,0.0,14.0
380,2020-02-22,Spain,ESP,1.0,2.0,0.0,2.0
381,2020-02-22,Brazil,BRA,1.0,0.0,0.0,0.0
382,2020-02-22,Australia,AUS,1.1578116780641767,22.0,0.0,11.0
383,2020-02-22,Canada,CAN,1.0,9.0,0.0,3.0
384,2020-02-23,US,USA,1.0,35.0,0.0,5.0
385,2020-02-23,China,CHN,1.000208002885,76938.0,2443.0,23170.0
386,2020-02-23,India,IND,1.0,3.0,0.0,3.0
387,2020-02-23,Korea,KOR,1.3902912172929032,602.0,6.0,18.0
388,2020-02-23,Singapore,SGP,1.0470532878484884,89.0,0.0,51.0
389,2020-02-23,Italy,ITA,2.4997581035316885,155.0,3.0,2.0
390,2020-02-23,UK,GBR,1.0,9.0,0.0,8.0
391,2020-02-23,Germany,DEU,1.0,16.0,0.0,14.0
392,2020-02-23,Spain,ESP,1.0,2.0,0.0,2.0
393,2020-02-23,Brazil,BRA,1.0,0.0,0.0,0.0
394,2020-02-23,Australia,AUS,1.0,22.0,0.0,11.0
395,2020-02-23,Canada,CAN,1.0,9.0,0.0,3.0
396,2020-02-24,US,USA,1.5141388174807198,53.0,0.0,5.0
397,2020-02-24,China,CHN,1.0027814600351634,77152.0,2593.0,24990.0
398,2020-02-24,India,IND,1.0,3.0,0.0,3.0
399,2020-02-24,Korea,KOR,1.3837145562366073,833.0,8.0,18.0
400,2020-02-24,Singapore,SGP,1.0,89.0,0.0,51.0
401,2020-02-24,Italy,ITA,1.4773885555770596,229.0,7.0,1.0
402,2020-02-24,UK,GBR,1.4439511653718091,13.0,0.0,8.0
403,2020-02-24,Germany,DEU,1.0,16.0,0.0,14.0
404,2020-02-24,Spain,ESP,1.0,2.0,0.0,2.0
405,2020-02-24,Brazil,BRA,1.0,0.0,0.0,0.0
406,2020-02-24,Australia,AUS,1.0,22.0,0.0,11.0
